Exp,Week,Strain,Sex,Irradiation.Dose,Input,Mouse,CD45.Percent,GPA.Percent,CD33.15.Percent,CD19.Percent,CD3.Percent,CD34.Percent
141118R,10,NRG,F,900 Rad,CB.38K,R3R,77.36547419,0.039208921,5.275168206,62.93972805,0,5.736265115
141118R,10,NRG,F,0 Rad,CB.38K,R3RR,5.996954095,0.004742758,0.276133914,4.311167087,0.000526973,0.426321253
141118R,10,NRG,M,900 Rad,CB.38K,R4L,3.067167389,0.008699813,1.05799392,1.665530858,0,0.491539432
141118R,10,NRG,M,0 Rad,CB.38K,R4LL,0.177113162,0.007423905,0.019090041,0.125145827,0,0.011666136
141118R,10,NRG,M,900 Rad,CB.38K,R4R,8.075196468,6.964097205,4.065855557,3.335430418,0.002132628,3.580682654
141118R,10,NRG,M,0 Rad,CB.38K,R4RR,0.001042595,0.002606488,0.000521298,0,0,0.000521298
141118R,10,NRG-W41,F,150 Rad,CB.20K,R5L,23.55210823,0,1.371765243,15.58138843,0.011902518,2.93099515
141118R,10,NRG-W41,F,150 Rad,CB.20K,R5LL,69.85403337,0.672884639,8.962172546,40.22139059,0.011547162,9.651328186
141118R,10,NRG-W41,F,150 Rad,CB.20K,R5R,6.907809607,0.013935063,2.070352159,3.873947405,0,1.932992256
141118R,10,NRG,F,900 Rad,CB.20K,R6L,49.33966756,0.209070774,7.774948767,34.15098636,0.001035004,8.526361548
141118R,10,NRG-W41,F,150 Rad,CB.20K,R6LL,13.61785035,0.01298882,2.473442501,8.152340307,0.002783319,2.909495755
141118R,10,NRG,F,900 Rad,CB.20K,R6R,11.43725081,0.03797228,2.498576039,6.948927283,0.003797228,2.494778811
141118R,20,NRG-W41,F,150 Rad,CB.38K,R1L,30.69752443,3.198518107,13.37003067,14.41845466,0.000749946,0.365973467
141118R,20,NRG-W41,F,0 Rad,CB.38K,R1LL,81.77668053,10.05370755,29.24116424,44.62231462,0,1.002252252
141118R,20,NRG,F,900 Rad,CB.20K,R1R,40.62611001,0.97760106,6.555334659,30.10205434,0,0.428893307
141118R,20,NRG-W41,F,0 Rad,CB.38K,R1RR,0.228664159,0.02212879,0.10080893,0.103267685,0,0.012293772
141118R,20,NRG-W41,M,0 Rad,CB.38K,R2LL,19.36941133,0.05821535,13.58746274,4.913375559,0,0.246833085
141118R,20,NRG-W41,M,150 Rad,CB.38K,R2R,3.470715835,0.433839479,1.518438178,0.542299349,0,0.433839479
141118R,20,NRG-W41,M,0 Rad,CB.38K,R2RR,0.005410963,0.024349332,0,0,0,0
141118R,20,NRG,F,900 Rad,CB.38K,R3L,13.6241389,0.020844455,3.99603447,8.051043494,0.000508401,0.485014871
141118R,20,NRG,F,0 Rad,CB.38K,R3LL,10.30800544,0.004510422,0.832172839,7.943416757,0,0.083442805
141118R,20,NRG,F,900 Rad,CB.38K,R3R,44.94794887,0.096589719,6.911019916,31.53117701,0.191646267,0.412422767
141118R,20,NRG,M,900 Rad,CB.38K,R4L,5.821905265,0.015696698,3.619658544,1.003542222,0,0.490260199
141118R,20,NRG,M,0 Rad,CB.38K,R4LL,0.027920199,0.0038073,0.0063455,0.020305599,0,0
141118R,20,NRG,M,900 Rad,CB.38K,R4R,23.2173184,1.52632371,8.308790335,12.14824688,0.004299503,0.664273276
141118R,20,NRG-W41,F,150 Rad,CB.20K,R5L,3.865484411,0,0.713030687,2.641686757,0,0.061292036
141118R,20,NRG-W41,F,150 Rad,CB.20K,R5LL,70.85347713,7.53068055,20.14224619,42.15321681,0,0.962253626
141118R,20,NRG-W41,F,150 Rad,CB.20K,R5R,28.72959204,0.016045569,4.855790445,20.81511493,0,0.437241767
141118R,20,NRG,F,900 Rad,CB.20K,R6L,35.48521233,1.39820157,13.26732159,19.14340662,0,0.803056292
141118R,20,NRG-W41,F,150 Rad,CB.20K,R6LL,50.56867892,0.235387243,12.0130817,34.57484481,0.002083073,1.189434654
141118R,20,NRG,F,900 Rad,CB.20K,R6R,48.4335803,0.035003792,9.213775937,32.32600198,0,0.667016705
141118R,30,NRG,M,900 Rad,CB.38K,R4L,2.754450575,0.015929046,0.888203586,0.83723064,0.470225428,0.005097295
141118R,30,NRG-W41,F,150 Rad,CB.38K,R1L,27.86314203,1.858001413,7.12306836,13.21175963,3.408941671,0.497176413
141118R,30,NRG-W41,F,0 Rad,CB.38K,R1LL,48.22115899,39.82634805,13.1588795,24.06090737,3.546544781,0.592501515
141118R,30,NRG-W41,F,0 Rad,CB.38K,R1RR,0.380324687,0.041756716,0.22458342,0.108341751,0.00056428,0.006771359
141118R,30,NRG-W41,M,0 Rad,CB.38K,R2LL,4.071697278,0.048835949,3.932056985,0.085462911,0.020602666,0.00457837
141118R,30,NRG-W41,M,150 Rad,CB.38K,R2R,10.57339561,0.028540998,0.348757074,0.232504716,7.264032077,0.597272594
141118R,30,NRG-W41,M,0 Rad,CB.38K,R2RR,0.011537752,0.035382438,0.009230201,0,0.000769183,0
141118R,30,NRG,F,0 Rad,CB.38K,R3LL,2.298864424,0.053013645,1.430765987,0.113256423,0.58435495,0.045182084
141118R,30,NRG,F,900 Rad,CB.38K,R3R,21.13142255,0.976077635,3.108779057,4.746859249,8.654931167,1.523358158
140825Q,3,NRG,F,900 Rad,CB.20K,Q1N,17.34709598,25.6354953,16.34570944,0.169465414,0.04621784,4.529348328
