"Week","Strain","Sex","Irradiation.Dose","Lineage","N","value","sd","se","ci"
10,"NRG-W41","F","Irradiated","CD34+",10,0.658041517461413,0.287038242499245,0.0907694621869356,0.205334789049517
10,"NRG-W41","M","Irradiated","CD45+",8,1.48049089847865,0.809807234532184,0.286310093495816,0.677015790556004
10,"NRG-W41","M","Irradiated","GPA+",8,0.0992547768971627,1.25277497802618,0.44292284113157,1.04734609172409
10,"NRG-W41","M","Irradiated","CD33+15+",8,0.857250802328897,0.789622710699048,0.2791737866571,0.660141106338368
10,"NRG-W41","M","Irradiated","CD19+",8,1.22995565686722,0.839411507495232,0.29677678457795,0.701765582122749
10,"NRG-W41","M","Irradiated","CD3+",8,-2,0,0,0
10,"NRG-W41","M","Irradiated","CD34+",8,0.572745990282083,0.84870438428787,0.300062312676353,0.709534621543521
20,"NRG","F","Irradiated","CD45+",10,1.61496537850247,0.229702671980359,0.0726383628084473,0.164319392721064
20,"NRG","F","Irradiated","GPA+",10,-0.270606726639132,0.813839593436217,0.257358676528387,0.582185773516956
20,"NRG","F","Irradiated","CD33+15+",10,1.02558382950578,0.285869155096899,0.0903997642894134,0.204498474302566
20,"NRG","F","Irradiated","CD19+",10,1.38438214483849,0.218117923089174,0.0689749435467219,0.156032162597819
20,"NRG","F","Irradiated","CD3+",10,-1.08940957615557,1.03498963435178,0.327292459921648,0.740386982541602
20,"NRG","F","Irradiated","CD34+",10,0.159559002706627,0.485627438132022,0.153568879876969,0.347396941596583
20,"NRG","M","Irradiated","CD45+",8,0.179561045578629,0.895013237050526,0.316434964585075,0.748249791309771
20,"NRG","M","Irradiated","GPA+",8,-1.40388972866914,0.839970985991871,0.296974590097401,0.702233317851141
20,"NRG","M","Irradiated","CD33+15+",8,-0.454801165204134,1.00898500167531,0.356730068400064,0.843532571011145
20,"NRG","M","Irradiated","CD19+",8,-0.246843633801262,0.874907172670571,0.309326397352055,0.731440700836495
20,"NRG","M","Irradiated","CD3+",8,-2,0,0,0
20,"NRG","M","Irradiated","CD34+",8,-1.19506410862594,0.751113948794349,0.265558883318145,0.627946975719983
20,"NRG-W41","F","Irradiated","CD45+",7,1.55080107953845,0.461336023835085,0.174368627129,0.426664660189829
20,"NRG-W41","F","Irradiated","GPA+",7,-0.272141953265135,1.20881336216458,0.456888505397049,1.11796589850795
20,"NRG-W41","F","Irradiated","CD33+15+",7,0.994930744815929,0.570978743842219,0.215809680015795,0.528067263622452
20,"NRG-W41","F","Irradiated","CD19+",7,1.32223148177414,0.433427837055521,0.163820324020219,0.400853892303483
20,"NRG-W41","F","Irradiated","CD3+",7,-1.76213196049438,0.629339677382359,0.23786803950562,0.582042124874922
20,"NRG-W41","F","Irradiated","CD34+",7,-0.0708948636477859,0.687504030209567,0.259852098469879,0.635835179290836
20,"NRG-W41","M","Irradiated","CD45+",6,1.43179638441484,0.608537753189154,0.248434497422192,0.638621206418924
20,"NRG-W41","M","Irradiated","GPA+",6,0.039515365655996,1.14805374887048,0.468690980337002,1.20480852058087
20,"NRG-W41","M","Irradiated","CD33+15+",6,0.854177134442676,0.683290840770098,0.278952317634008,0.717069760718632
20,"NRG-W41","M","Irradiated","CD19+",6,1.10962750730349,0.774660369791514,0.31625377165749,0.812956200874217
20,"NRG-W41","M","Irradiated","CD3+",6,-2,0,0,0
20,"NRG-W41","M","Irradiated","CD34+",6,0.142167025952992,0.61466663471475,0.250936602827473,0.645053073124585
30,"NRG","F","Irradiated","CD45+",2,1.57633376915877,0.35554040982729,0.251405034774721,3.19440384355272
30,"NRG","F","Irradiated","GPA+",2,0.26756299891713,0.393262579963524,0.278078637079125,3.53332409548378
30,"NRG","F","Irradiated","CD33+15+",2,0.771552390278169,0.394512597189983,0.278962532736554,3.54455505467249
30,"NRG","F","Irradiated","CD19+",2,1.18580431536972,0.720397504946877,0.509397960897806,6.47251478335744
30,"NRG","F","Irradiated","CD3+",2,0.680116937698021,0.363660323176269,0.257146680566431,3.26735837050479
30,"NRG","F","Irradiated","CD34+",2,0.307268290405939,0.176021883880172,0.1244662677289,1.58149388051094
30,"NRG","M","Irradiated","CD45+",3,0.16321102264264,1.06327923364974,0.613884551771414,2.6413320424303
30,"NRG","M","Irradiated","GPA+",3,-1.72144799831263,0.203396438169239,0.117430988329221,0.505264762491901
30,"NRG","M","Irradiated","CD33+15+",3,-0.328337825526951,0.733157510961244,0.42328868631187,1.82126422163183
30,"NRG","M","Irradiated","CD19+",3,-0.2428214606759,1.28384135846495,0.741226153906513,3.18923873446755
30,"NRG","M","Irradiated","CD3+",3,-0.83207691626251,0.789625794033106,0.455890664744086,1.96153921312844
30,"NRG","M","Irradiated","CD34+",3,-1.42713551949017,0.992230386094575,0.572864480509829,2.46483692084212
30,"NRG-W41","F","Irradiated","CD45+",2,1.61709693582963,0.243339268797909,0.172066847095978,2.18631658750956
30,"NRG-W41","F","Irradiated","GPA+",2,0.817379360224834,0.775460418253048,0.548333320288486,6.96723543125196
30,"NRG-W41","F","Irradiated","CD33+15+",2,1.10456353714358,0.35623534035055,0.251896424860172,3.20064754658379
30,"NRG-W41","F","Irradiated","CD19+",2,1.30051793554193,0.253932329070411,0.179557271848182,2.28149145797197
30,"NRG-W41","F","Irradiated","CD3+",2,0.641933074031426,0.154592639586813,0.109313503773363,1.38895975937296
30,"NRG-W41","F","Irradiated","CD34+",2,0.222658825487627,0.744086074110777,0.526148308790206,6.68534813308042
30,"NRG-W41","M","Irradiated","CD45+",2,1.09245180189867,0.0965021433993982,0.0682373199967511,0.867037358526587
30,"NRG-W41","M","Irradiated","GPA+",2,-1.37910631729009,0.233945610460256,0.165424527585273,2.10191791588346
30,"NRG-W41","M","Irradiated","CD33+15+",2,-0.0662383130475536,0.553295021340892,0.3912386615869,4.97115853483012
30,"NRG-W41","M","Irradiated","CD19+",2,0.196368025356015,1.17370711344826,0.82993625904615,10.5453400254153
30,"NRG-W41","M","Irradiated","CD3+",2,0.252591566605951,0.860670839101251,0.60858618669801,7.73282068779276
30,"NRG-W41","M","Irradiated","CD34+",2,-0.160314053089993,0.0898214542765169,0.0635133594149625,0.807013748208763
